ticker,rv_current,rv_percentile,rv_52w_min,rv_52w_max,rv_20,rv_60,rv_term_structure,atr_pct,atr_pct_percentile,expansion_ratio,expansion_tier,adv_30d,adv_90d,close_price,last_date,cv_30,range_rel_20,volume_spike_180,is_compressed,is_deal_pending,is_straddle_candidate,rank_rv_pct,rank_atr_pct,rank_term_structure,borda_score,borda_rank,name,type,market_cap,next_earnings_date,days_to_earnings
ABNB,33.71,39.68,22.05,51.62,23.94,30.57,0.783,3.9,95.24,1.53,INSUFFICIENT,3791832,4265477,132.68,2026-05-26,0.02816,0.03396,2.86,False,False,False,,,,,,Airbnb Inc,Common Stock,78550376448.0,2026-08-05,70.0
OKLO,98.77,39.81,91.12,137.57,115.79,97.81,1.184,9.646,53.97,1.39,INSUFFICIENT,15955722,11438749,68.7,2026-05-26,0.08501,0.0807,5.33,False,False,False,,,,,,Oklo Inc.,Common Stock,11462525952.0,2026-08-10,75.0
CFG,28.71,40.08,21.43,42.52,22.77,24.06,0.947,2.318,0.79,1.48,INSUFFICIENT,4264565,4963775,63.65,2026-05-26,0.02249,0.0217,2.64,False,False,False,,,,,,"Citizens Financial Group, Inc.",Common Stock,26595045376.0,2026-07-16,50.0
JOBY,71.35,40.61,61.33,93.95,91.17,67.55,1.35,7.338,61.51,1.32,INSUFFICIENT,30722139,27778921,11.52,2026-05-26,0.09144,0.07032,5.91,False,False,False,,,,,,Joby Aviation,Common Stock,11177134080.0,2026-08-05,70.0
WEC,16.47,40.61,13.04,20.61,19.54,17.53,1.115,1.583,0.0,1.25,INSUFFICIENT,1872470,2130664,112.99,2026-05-26,0.01729,0.01633,2.47,False,False,False,,,,,,WEC Energy Group Inc,Common Stock,36803743744.0,2026-07-29,63.0
BKD,42.26,40.61,32.01,51.39,30.27,29.25,1.035,4.009,84.92,1.22,INSUFFICIENT,3272112,4430674,13.48,2026-05-26,0.03419,0.03334,3.79,False,False,False,,,,,,Brookdale Senior Living Inc,Common Stock,3219276288.0,2026-08-06,71.0
SATS,57.71,40.74,45.75,145.02,56.44,56.29,1.003,6.619,78.97,2.51,LOW,5679164,6129670,123.12,2026-05-26,0.05107,0.05382,11.86,False,False,False,,,,,,EchoStar Corporation,Common Stock,35681841152.0,2026-07-30,64.0
O,16.58,40.74,14.22,21.13,18.85,16.45,1.146,1.47,4.37,1.27,INSUFFICIENT,5345280,6098387,62.45,2026-05-26,0.01583,0.01355,2.55,False,False,False,,,,,,Realty Income Corporation,Common Stock,58234159104.0,2026-08-03,68.0
VTR,19.67,40.87,14.36,29.34,19.1,20.28,0.942,2.064,19.05,1.49,INSUFFICIENT,4757277,3662172,88.37,2026-05-26,0.02671,0.02064,3.83,False,False,False,,,,,,Ventas Inc,Common Stock,42962821120.0,2026-07-29,63.0
RRC,32.54,40.87,28.5,47.07,27.31,29.04,0.94,2.854,25.0,1.45,INSUFFICIENT,3035961,3358004,40.05,2026-05-26,0.02289,0.02467,3.38,False,False,False,,,,,,Range Resources Corp,Common Stock,9436670976.0,2026-07-28,62.0
